pixel_no,spike_1,spike_2,spike_3,spike_4,spike_5,spike_6,spike_7
1,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,184,240,515,564,601,758,NA
9,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA
18,240,NA,NA,NA,NA,NA,NA
19,384,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
